Hour,Lower_5%,Upper_95%
0,-0.011389312664380636,0.0
1,-0.010750981801969916,0.0
2,-0.010670848076476927,0.0
3,-0.010733856245746331,0.0
4,-0.01105464169618111,0.0
5,-0.010779661443248755,0.0
6,-0.08208413898684748,0.0
7,-1.4538451762995674,0.41593986689288936
8,-2.5259976444105776,0.9788553619808293
9,-3.618104001256279,1.7880720234613359
10,-4.664406904435107,2.5212272003680027
11,-5.915192982335158,2.930066637522061
12,-5.457657220763795,3.6845445961144234
13,-6.156621931445743,3.8072874220940838
14,-6.083004809123496,3.819742717993008
15,-6.338118825218145,3.5580807352241455
16,-4.837093667346601,3.6338312135548225
17,-3.3255783351450625,2.98556163696524
18,-2.3642140781156233,1.8984429457565672
19,-1.6564688538843635,0.8458161491617397
20,-0.147339218033185,0.22864542365959406
21,-0.028834686078036926,0.0
22,-0.028974014136204904,0.0
23,-0.027978478070727175,0.0
